contig_1	1	40214	CP059080.1	40214	469	468
contig_10	1	943830	CP050292.1	943830	1395974	41294
contig_100	1	40214	CP043307.1	40214	469	468
contig_101	1	2742646	CP056552.1	2742646	547	543
contig_102	1	152682	CP023705.1	152682	13687	41297
contig_103	1	71139	MG925370.1	71139	3932	3931
contig_104	1	943830	CP050292.1	943830	1395974	41294
contig_105	1	943830	CP050292.1	943830	1395974	41294
contig_106	1	40214	CP037424.1	40214	469	468
contig_108	1	943830	CP050292.1	943830	1395974	41294
contig_109	1	40214	CP059080.1	40214	469	468
contig_113	1	1747	CP012647.1	1747	1912216	31957
contig_114	1	756892	CP044445.1	756892	469	468
contig_115	1	562	CP010816.1	562	561	543
contig_117	1	1325100	CP030037.1	1325100	374	41294
contig_118	1	2592814	CP041399.1	2592814	1395974	41294
contig_12	1	1076	CP000301.1	1076	1073	41294
contig_120	1	470	CP041035.1	470	469	468
contig_121	1	2592814	CP041399.1	2592814	1395974	41294
contig_122	1	76775	CP033154.1	76775	55193	742845
contig_123	1	943830	CP050292.1	943830	1395974	41294
contig_124	1	40214	CP065666.1	40214	469	468
contig_127	1	76775	CP033152.1	76775	55193	742845
contig_129	1	1282	CP033782.1	1282	1279	90964
contig_130	1	2743575	CP055277.1	2743575	469	468
contig_131	1	40214	CP031011.1	40214	469	468
contig_132	1	76775	CP033149.1	76775	55193	742845
contig_134	1	943830	CP050292.1	943830	1395974	41294
contig_135	1	76775	CP033149.1	76775	55193	742845
contig_136	1	562	CP020368.1	562	561	543
contig_137	1	40214	CP031011.1	40214	469	468
contig_138	1	943830	CP050292.1	943830	1395974	41294
contig_139	1	2592816	CP041401.1	2592816	1395974	41294
contig_14	1	40214	CP037424.1	40214	469	468
contig_143	1	29466	CP019721.1	29466	29465	31977
contig_144	1	943830	CP050292.1	943830	1395974	41294
contig_145	1	219892	MT830744.1	219892	178174	3931
contig_146	1	694003	KF530075.1	694003	694002	11118
contig_147	1	562	CP053601.1	562	561	543
contig_15	1	54005	LR134524.1	54005	162289	1570339
contig_151	1	943830	CP050292.1	943830	1395974	41294
contig_152	1	10298	KT425109.1	10298	10294	10292
contig_153	1	943830	CP050292.1	943830	1395974	41294
contig_155	1	40214	CP022298.1	40214	469	468
contig_156	1	40214	CP010350.1	40214	469	468
contig_158	1	1679311	NC_044106.1	1679311	178174	3931
contig_16	1	1961362	CP015521.1	1961362	13687	41297
contig_160	1	943830	CP050292.1	943830	1395974	41294
contig_161	1	562	AM946981.2	562	561	543
contig_162	1	943830	CP050292.1	943830	1395974	41294
contig_163	1	943830	CP050292.1	943830	1395974	41294
contig_164	1	40214	CP059080.1	40214	469	468
contig_165	1	943830	CP050292.1	943830	1395974	41294
contig_166	1	2592816	CP041401.1	2592816	1395974	41294
contig_167	1	40214	CP043307.1	40214	469	468
contig_169	1	1679311	MK102721.1	1679311	178174	3931
contig_171	1	307643	CP059262.1	307643	33986	-300
contig_172	1	1961362	CP015521.1	1961362	13687	41297
contig_174	1	1076	CP000463.1	1076	1073	41294
contig_175	1	694003	AY391777.1	694003	694002	11118
contig_176	1	694003	NC_006213.1	694003	694002	11118
contig_18	1	2592817	CP041402.1	2592817	1395974	41294
contig_19	1	1938607	CP019511.1	1938607	13687	41297
contig_2	1	2743575	CP055277.1	2743575	469	468
contig_20	1	40214	CP031011.1	40214	469	468
contig_22	1	1282	CP024437.1	1282	1279	90964
contig_23	1	562	CP047231.1	562	561	543
contig_25	1	2592815	CP041400.1	2592815	1395974	41294
contig_26	1	943830	CP050292.1	943830	1395974	41294
contig_28	1	2592814	CP041399.1	2592814	1395974	41294
contig_3	1	562	CP026641.1	562	561	543
contig_30	1	40214	CP037424.1	40214	469	468
contig_31	1	1282	CP043782.1	1282	1279	90964
contig_33	1	562	CP053597.1	562	561	543
contig_34	1	352858	CP030028.1	352858	1386	186817
contig_36	1	1280	CP015447.2	1280	1279	90964
contig_39	1	1747	AE017283.1	1747	1912216	31957
contig_4	1	2592814	CP041399.1	2592814	1395974	41294
contig_42	1	76775	CP030258.1	76775	55193	742845
contig_43	1	943830	CP050292.1	943830	1395974	41294
contig_44	1	1747	CP012353.1	1747	1912216	31957
contig_46	1	219895	MW054699.1	219895	178174	3931
contig_47	1	2592814	CP041399.1	2592814	1395974	41294
contig_48	1	694003	AY391777.1	694003	694002	11118
contig_49	1	943830	CP050292.1	943830	1395974	41294
contig_5	1	943830	CP050292.1	943830	1395974	41294
contig_50	1	943830	CP050292.1	943830	1395974	41294
contig_51	1	943830	CP050292.1	943830	1395974	41294
contig_52	1	943830	CP050292.1	943830	1395974	41294
contig_53	1	2743575	CP055277.1	2743575	469	468
contig_54	1	562	CP048330.1	562	561	543
contig_56	1	943830	CP050292.1	943830	1395974	41294
contig_58	1	40214	CP022298.1	40214	469	468
contig_59	1	40214	CP065666.1	40214	469	468
contig_6	1	1747	AP019723.1	1747	1912216	31957
contig_60	1	562	CP001665.1	562	561	543
contig_61	1	2592814	CP041399.1	2592814	1395974	41294
contig_62	1	40214	CP037424.1	40214	469	468
contig_63	1	2599297	CP042239.1	2599297	13687	41297
contig_64	1	40214	CP037424.1	40214	469	468
contig_65	1	2743575	CP055277.1	2743575	469	468
contig_66	1	71139	NC_040010.1	71139	3932	3931
contig_67	1	40214	CP059080.1	40214	469	468
contig_68	1	1938607	CP019511.1	1938607	13687	41297
contig_7	1	1325102	CP030038.1	1325102	374	41294
contig_70	1	943830	CP050292.1	943830	1395974	41294
contig_71	1	943830	CP050292.1	943830	1395974	41294
contig_72	1	943830	CP050292.1	943830	1395974	41294
